MATRI	NOM_PRENOM	CLUB	ELO_CALCUL
9644	VAN DE WYNKELE HERMAN	422	2133
38954	CLAES RAF	709	2133
84310	DE DONDER PHILIPPE	952	2133
61981	AKHAYAN RUBEN	203	2132
68322	VANDEN BERGHE FILIP	303	2132
9296	MONAVILLE GUY	601	2132
31259	DESCHRYVER FABIEN	952	2132
71498	BOEYE LEO	101	2131
63169	VAN CAUTEREN LUC	209	2131
9679	VAN DE WYNKELE RUDY	401	2131
2933	HENDRIKX TONY	705	2131
12351	WINKELS MARCEL	727	2131
11771	SMOLIAKOV MICHAEL	130	2130
24911	ICLICKI WILLY	239	2130
17612	SKALERIC LJUBISA	244	2130
10855	LARSEN HARALD	303	2130
16055	JULVE PHILIPPE	305	2130
50229	DE MAN STEFAAN	401	2130
60712	LANNEAU BERTRAND	501	2130
27413	HEYNEN KOEN	266	2129
36307	VERHELST RUDY	303	2129
6696	MONNENS GEORGES	727	2129
3131	ENGELEN JOSEPH	124	2128
9504	LEMMENS PHILIP	465	2128
67822	BRITTNER SERGE	627	2128
3603	JACOBS JEAN	701	2128
50474	WERNER YVAN	901	2128
6602	BAEKELANT RONNY	101	2127
11738	VAN DER STRICHT WIM	128	2127
77062	LALLEMAND PASCAL	278	2127
32166	DESTOOP NICO	301	2127
60143	ZILL CHRISTOPH	601	2127
99988	BRAUER KARL-HEINZ	624	2127
69558	KULAKOW WLADYSLAW	244	2125
80608	AERTS ERIC	109	2124
67113	POIVRE ERIC	501	2124
7285	VANDEZANDE ALBERT	301	2123
13901	HOOGENDOORN FRE	101	2122
3735	VAN COPPENOLLE KURT	313	2122
46892	VANDENBROUCKE NICO	340	2122
65510	LECOMTE SAM	506	2122
78468	LHOUSSENE CEDRIC	506	2122
63053	MEMETI KASTRIOT	618	2122
79294	DEPAUW CHRISTIAN	952	2122
88731	HAJENIUS WILLEM	114	2121
36544	VANDROOGENBROECK MARC	209	2121
27952	STEEN PIETER	362	2121
86193	SCHREIBER CHRISTOPHE	607	2121
42161	COURTEYN PATRICK	418	2120
24970	DE GROOT KRIS	176	2119
39349	JANS KOEN	266	2119
18104	TEN HOVE DICK	109	2118
43036	JOURDAIN JEAN FRANCOIS	239	2118
10782	VANDEBOURRY DANNY	301	2118
83437	DE GREVE TONY	430	2118
5215	VAN DE WYNKELE ERIC	402	2117
5801	HOUTHOOFD KURT	340	2116
59471	VERVUST JOHAN	401	2116
37176	TIMMERMANS DANIEL	601	2116
57843	VAN DEN ABBEELE MIKE	101	2115
29998	SCHOUTEN FREEK	130	2115
30147	RUBINSTEIN SAMY	201	2115
62596	VERSLYPE JAN	430	2115
97462	PETERS MATHIAS	604	2115
72966	CASTELEIN DIRK	432	2114
95133	CASASCHI PAOLO	201	2113
9725	VANHEE FREDDY	417	2113
69663	ISRAEL GREGORY	501	2113
60411	GRAHAM LARRY	229	2112
76449	MERGITS JAN	108	2111
42862	KNORS RUDY	124	2111
12904	GHEYSEN KRIS	305	2111
63185	NAUTS PATRICK	601	2111
56359	FOGEL PIERRE	201	2110
25615	DECOSTER FREDERIC	362	2110
56901	BASTOGNE DAMIEN	951	2110
82031	VAN VLAENDEREN KOEN	114	2109
16527	VANNEVELE RENE	402	2109
27111	GOOSSENS XAVIER	430	2109
57177	PIRON DIDIER	601	2109
26379	VANDERSMISSEN MATHIEU	402	2108
93084	FRANC EMMANUEL	506	2108
35564	VAN HOECKE LUC	401	2107
53520	MARTRE MICHEL	465	2107
31879	KOCUR JOHAN	727	2107
17710	CLAESSENS KOEN	114	2106
22616	TALON ALAIN	130	2106
8273	DANCKAERT LUK	430	2106
34754	DE PAUW ERIC	430	2106
4685	MOEYERSONS JEAN	124	2105
56618	BUYTAERT KRISTOF	128	2105
36374	MICHIELS ROB	303	2105
24864	AERTS EDDY	176	2104
69744	ANDRE DAMIEN	910	2104
25186	THITECA THIERRY	249	2103
90921	DE MUNTER JACQUES	401	2103
93581	LOO DIRK	624	2103
33847	VERDONCK PETER	153	2102
75175	LEFEVER DIMITRI	209	2102
31640	DEZUTTER JOHAN	303	2102
32204	DU PONT DAVID	401	2102
1660	PATTHEEUWS JOHAN	422	2102
84255	VERSPECHT THIERRY	910	2102
52671	GIJSEMANS MAURICE	114	2101
20249	VUKOJEVIC PHILIPPE	303	2101
93351	OBERWEISS PAUL	627	2101
55417	BRUYNOOGHE STEFAAN	340	2100
17132	BONJEAN MARC	166	2099
97179	SAUVEUR PHILIPPE	622	2099
27863	DE VREESSE SEPPE	313	2098
52981	CAMBIER MARNIK	353	2098
264	LIEUTENANT GEORGES	609	2098
57941	LAGAST HERVE	307	2096
46710	HAWIA THIERRY	952	2096
7790	VAN DER STAPPEN MICHEL	109	2095
63291	SEMLALI HASSAN	278	2095
97845	NOVAK VOLKER	607	2094
3646	KLAASSEN ANTON	143	2092
52353	YUDIN VICTOR	243	2092
22764	PEEREN YEN	301	2092
14974	MAUQUOY PAUL	401	2092
35394	DEBUCK VALERE	401	2092
83551	GILLAIN CHRISTOPHE	601	2092
98043	MARKARIS DIMITRI	607	2092
38971	LUCET JEROME	239	2091
95931	PHILIPPE DENIS	239	2091
38342	GALLE ANDRE	422	2091
957	HENNISSEN JOS	128	2090
2607	CASIER WIM	240	2089
27235	MARSCHNER THOMAS	266	2089
8320	LANCKRIET CHRIS	422	2089
4481	MOLLEKENS JOZEF	109	2088
99317	BRUGGEMANN FRANK	625	2088
72435	DEMOULIN JOACHIM	209	2087
65641	LAUNIAU STEPHANE	244	2087
98761	TELKE HOLGER	607	2087
27758	VAN ACKER CHRISTIAN	736	2087
91847	HODY PIERRE	239	2086
22403	WEILER MARC	266	2086
14818	KAMMINGA GOSSE	422	2086
98221	PEEK MAURICE	604	2086
99295	RUTTEN ERIK	604	2086
18171	EL OSTA ERIC	631	2086
16144	MANNAERT ERWIN	402	2085
45217	BRASPENNING RUDY	114	2084
62766	VERRIJKEN GEERT	130	2084
49387	FIERENS STEVE	141	2084
61191	KESTELOOT EDDY	209	2084
9172	LADAGE HARRY	229	2084
8397	D'HOOGE FRANK	352	2084
11762	KRUG REINHARD	727	2084
47368	CHARLIER JEAN-PAUL	622	2083
39519	LACROIX ALAIN	701	2083
66109	TRAPEAUX JEROME	901	2083
4596	VAN HERCK PAUL	114	2082
66711	DUMONT ANDRE	901	2082
59935	MATAIGNE JEAN-MICHEL	910	2082
3395	MIKHAILOV SERGEY	266	2081
59111	WYNTIN DAG	301	2080
42757	HUYCK JOHAN	401	2080
51161	SECELLE HANS	472	2080
57215	POUVREAU DAVID	506	2080
41831	LOMBART PHILIPPE	290	2079
35432	BLAVIER CHRISTIAN	501	2079
25755	PELEMAN TONY	109	2078
39781	ROBEYS STEVEN	132	2078
80985	VERSPORTEN WIM	401	2078
10154	KINDT MANFRED	402	2078
58203	MARINX TANGUY	951	2078
58572	LUYCKX WIM	101	2077
67032	DRAIDI AHMED	209	2077
50814	LANSAY DANIEL	422	2077
99651	MERENYI GABOR	604	2077
47864	KOEK DENNIS	130	2076
14648	BROUCKE FERNAND	401	2076
14834	GABRIELS ANTOON	401	2076
99694	YASINSKI EUGENE	604	2076
94102	NIESSEN HEINZ	607	2076
14451	CAMPANELLA DOMINIQUE	622	2076
95478	DEGEMBE PIERRE	910	2076
55875	HOOGSTIJNS RAF	266	2075
13242	WINDELS PATRICK	401	2075
3522	VAN HAELST RAYMOND	401	2075
62600	MUNSTER PIERRE	640	2075
54992	HUYBRECHTS XAVIER	736	2075
58408	BASIC ENES	108	2074
99015	ERNST JEAN-PHILIPPE	624	2074
49417	FRENKEN MARCEL	703	2074
63941	MAGLOTT PHILIPPE	901	2074
24953	WINANTS HENRI	201	2073
83658	HONHON ROLAND	622	2073
60208	FASTRUP HENRIK	201	2072
19763	VAN ROOIJEN PAUL	402	2072
40657	MERCHIERS KOEN	313	2071
85804	RAMON DIDIER	506	2071
93319	HUGUENIN OLIVIER	506	2071
914	VANDERVAEREN PAUL	239	2070
50806	DEN HAMER ADRI	422	2070
87912	MATTHEYS EDDY	712	2070
92479	ROBERT PIERRE	810	2070
87556	DELHAYE JEAN-JACQUES	203	2069
28975	STASSEN WALTER	727	2069
62251	KRIVITZKI HUBERT	729	2069
77500	VAN ELSEN DANNY	132	2067
43486	PINCKET ROGER	132	2066
